X,County,Population,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Lat,Long,Y2010,Y2011,Y2012,Y2013,Y2104,Y2015,Y2016,Y2017,Y2018
1,Multnomah County,799766,2924,3205,3445,3296,3992,3415,3932,4180,4664,5144,5198,5459,45.5801481,-122.9352258,737291,749699,760235,766649,778604,790230,803741,808781,811880
2,Washington County,582779,1011,1183,1268,1390,1642,1695,1837,1963,2025,2267,2372,2404,45.5486164,-123.114768,531645,540963,548598,555405,562539,572872,584835,591164,597695
3,Clackamas County,408062,741,795,782,945,974,916,890,1050,1168,1250,1434,1394,45.1728817,-122.8204086,376790,379485,383021,387406,393453,399799,406794,412821,416075
4,Lane County,369519,849,1176,1270,1276,1297,1479,1368,1546,1648,1621,1836,1844,43.8603447,-124.1200744,351923,354005,355081,355506,358076,362047,369061,375617,379611
5,Marion County,336316,1035,1155,1278,1395,1497,1421,1359,1588,1711,1739,1662,1887,44.9840664,-123.0174967,315951,318049,319915,321575,324578,329287,335816,341217,346868
6,Jackson County,216527,529,529,494,522,528,599,740,640,696,760,934,994,42.4994129,-123.3172129,203343,204738,205860,207173,209226,211432,214353,216761,219564
7,Deschutes County,181307,405,432,387,458,513,621,530,554,497,543,673,591,44.0014527,-121.5099957,157743,159639,161345,165294,169506,174244,180649,186807,191996
8,Linn County,122849,284,316,317,358,389,359,353,409,436,460,470,472,44.4960704,-123.0872792,116887,118155,118273,118416,119063,120244,122730,124977,127335
9,Douglas County,108457,194,187,184,255,218,266,289,317,287,324,333,328,43.3187126,-124.2533755,107634,107219,106918,106605,106702,107191,108154,109284,110283
10,Yamhill County,105035,189,218,243,256,276,268,346,302,316,368,386,362,45.2545939,-123.5974652,99300,99676,99894,99876,100813,101449,104264,105572,107002
11,Benton County,89385,204,190,201,249,306,339,347,346,409,426,456,453,44.4990773,-123.7252277,85574,86260,86675,86168,87221,88270,89743,91567,92101
12,Josephine County,85904,170,153,165,182,224,174,255,221,254,316,331,294,42.3893115,-124.1953761,82875,82690,82746,83119,83364,84508,85489,86653,87393
13,Polk County,81823,135,169,182,233,203,232,274,292,275,282,274,359,44.8979638,-123.6618914,75545,75931,76223,76566,77691,78991,81468,83751,85234
14,Umatilla County,76456,204,191,214,197,246,252,289,323,283,310,323,304,45.4980649,-119.2645525,76095,76798,77006,76891,76708,76498,76674,77096,77516
15,Klamath County,66443,113,114,119,182,199,217,271,281,296,269,314,347,42.8015302,-122.706134,66318,66294,65900,65682,65277,65661,66168,66789,67653
16,Coos County,63761,75,90,129,188,179,169,171,202,141,152,174,165,43.1383901,-124.6875674,63011,62775,62678,62380,62367,62654,63347,63781,64389
17,Columbia County,50785,96,86,136,143,131,129,121,129,119,185,186,160,45.955192,-123.3432648,49355,49402,49215,49265,49499,49656,50930,51795,52377
18,Lincoln County,47806,99,91,78,75,82,131,99,109,134,160,155,128,44.6595855,-124.4524897,46000,45868,46162,46323,46348,47008,47839,48820,49388
19,Clatsop County,38632,117,96,96,114,128,88,91,127,111,121,162,141,46.0356819,-124.3193683,37086,37220,37408,37105,37440,37800,38686,39119,39764
20,Malheur County,30439,85,68,80,108,124,113,125,102,120,146,193,188,43.2028028,-119.8077101,31350,30968,30762,30653,30366,30237,30367,30460,30725
21,Tillamook County,26143,36,35,40,33,60,52,51,51,53,41,43,53,45.4627242,-123.8474116,25254,25406,25289,25345,25325,25567,26129,26574,26787
22,Wasco County,26115,60,60,68,60,67,90,103,111,103,93,77,119,45.2628972,-121.6489852,25285,25217,25375,25328,25275,25455,25776,26321,26505
23,Union County,26087,36,44,60,78,85,78,75,86,121,115,122,85,45.4083168,-118.5424613,25732,25902,25798,25523,25633,25698,26064,26286,26461
24,Hood River County,23232,46,26,45,46,48,73,48,58,77,88,78,99,45.4922764,-121.9616339,22445,22442,22558,22594,22695,22955,23103,23476,23428
25,Jefferson County,23080,98,106,79,114,140,127,86,138,135,166,160,165,44.6074249,-121.6709053,21660,21750,21831,21871,22208,22555,23061,23700,24192
26,Curry County,22713,18,13,12,22,33,25,36,30,52,38,29,50,42.4752133,-124.770346,22378,22486,22257,22225,22140,22296,22611,22676,22813
27,Crook County,22570,37,48,58,51,28,54,45,38,62,63,90,103,44.1303348,-120.9422383,20885,20636,20606,20700,20957,21459,22313,23091,23867
28,Baker County,16059,11,28,21,23,18,44,29,39,47,69,49,33,44.6676893,-118.2123076,16108,16058,15990,16015,16012,15873,15951,16079,16006
29,Morrow County,11274,22,19,18,29,17,27,25,30,37,35,38,52,45.4590835,-120.1365256,11211,11232,11235,11208,11110,11147,11229,11215,11372
30,Lake County,7837,13,13,4,16,3,7,16,24,20,17,24,18,42.8018372,-121.4765934,7874,7904,7786,7797,7823,7782,7843,7890,7879
31,Harney County,7292,7,8,5,16,19,15,26,23,23,18,16,18,43.0163213,-120.1909203,7400,7357,7247,7160,7127,7149,7247,7286,7329
32,Grant County,7158,9,6,7,14,11,10,19,4,8,6,24,20,44.4774043,-119.5082437,7464,7409,7325,7270,7190,7209,7169,7170,7176
33,Wallowa County,6946,5,3,4,9,3,3,8,16,8,13,12,9,45.5394682,-117.7810028,7012,6978,6801,6769,6778,6812,6912,7035,7081
34,Gilliam County,1854,2,0,2,3,4,1,0,2,4,3,3,3,45.4384153,-120.7671697,1882,1951,1952,1943,1930,1868,1857,1865,1894
35,Sherman County,1710,2,1,1,4,5,5,5,7,3,6,2,4,45.4096918,-121.2548998,1779,1750,1744,1725,1712,1689,1711,1741,1708
36,Wheeler County,1344,0,0,0,3,0,2,2,3,3,0,0,3,44.6873121,-120.6343616,1447,1416,1409,1378,1350,1326,1320,1355,1366
