"CTYNAME","pop2021","GrowthRate","popDensity"
"Salt Lake County","1183930","14.6131","458.3935"
"Utah County","665665","28.0130","257.7319"
"Davis County","364241","18.2946","141.0267"
"Weber County","269245","15.9874","104.2462"
"Washington County","189534","36.9574","73.3837"
"Cache County","132067","16.4756","51.1336"
"Tooele County","76799","31.2759","29.7350"
"Iron County","59161","27.8797","22.9059"
"Box Elder County","58326","16.2451","22.5826"
"Summit County","42655","16.8630","16.5151"
"Uintah County","36392","12.0892","14.0902"
"Wasatch County","36139","52.8464","13.9923"
"Sanpete County","31811","13.8547","12.3166"
"Sevier County","21866","5.1351","8.4661"
"Carbon County","20923","-2.2427","8.1010"
"Duchesne County","19928","6.8697","7.7157"
"San Juan County","15208","2.5904","5.8882"
"Millard County","13590","8.3646","5.2618"
"Juab County","12793","24.6395","4.9532"
"Morgan County","12460","30.8549","4.8243"
"Emery County","10030","-8.8596","3.8834"
"Grand County","9890","6.2070","3.8292"
"Kane County","8304","15.1255","3.2151"
"Beaver County","6880","3.3809","2.6638"
"Garfield County","5149","-0.9236","1.9936"
"Wayne County","2791","0.6854","1.0806"
"Rich County","2537","12.5555","0.9823"
"Piute County","1561","-0.2556","0.6044"
"Daggett County","902","-16.2488","0.3492"
